   1.9847919e+03   7.1426883e+10   1.2131312e+09  -2.6566396e-01  -7.9154665e-01  -9.0835191e-01
   1.9848754e+03   6.5680381e+10   8.0932920e+08  -2.9577853e-01  -4.3011109e-01  -8.1912278e-01
   1.9849589e+03   7.1284819e+10   2.2235540e+09  -2.7253794e-01  -1.9807970e-01  -6.4759223e-01
   1.9850438e+03   6.9645305e+10   9.7264739e+08  -2.6009931e-01   1.3995139e-01  -5.2048959e-01
   1.9851246e+03   7.2142164e+10   1.2629917e+09  -2.9774252e-01   3.3128543e-01  -4.3015442e-01
   1.9852053e+03   7.7227173e+10   2.7402918e+09  -2.9905185e-01   4.3845278e-01  -2.9544869e-01
   1.9852888e+03   6.7197314e+10   9.5998985e+08  -3.1803712e-01   6.4225384e-01   4.8324122e-02
   1.9853723e+03   7.6264333e+10   9.9797728e+08  -1.6811895e-01   7.4784733e-01   3.1312340e-01
   1.9854559e+03             NaN             NaN  -2.5584399e-01   7.5763618e-01   3.6494744e-01
   1.9855394e+03   8.0285092e+10   1.1314349e+09  -3.1345447e-01   6.3815134e-01   3.2664117e-01
   1.9856242e+03   8.2721655e+10   1.0192804e+09  -3.3473106e-01   6.3865850e-01   3.6727836e-01
   1.9857077e+03   7.8883668e+10   7.7925324e+08  -3.1410913e-01   6.6540117e-01   4.2762625e-01
   1.9857912e+03   7.3906610e+10   9.8612259e+08  -2.7908458e-01   6.7051655e-01   5.2646079e-01
   1.9858747e+03   6.8709165e+10   9.3351208e+08  -2.4144138e-01   6.5908289e-01   5.1403717e-01
   1.9859582e+03   7.7490396e+10   2.2138416e+09  -2.1460013e-01   5.8172116e-01   4.2038461e-01
   1.9860431e+03   7.4679074e+10   1.6826132e+09  -2.6206331e-01   5.3669844e-01   3.7201849e-01
   1.9861239e+03   7.3742528e+10   2.4389882e+09  -2.3489473e-01   5.9612157e-01   3.9429291e-01
   1.9862047e+03   6.8922728e+10   1.6325922e+09  -3.1345447e-01   6.7017368e-01   5.3838453e-01
   1.9862882e+03   6.6902396e+10   1.0013991e+09  -2.7613859e-01   5.4187002e-01   5.7270644e-01
   1.9863717e+03   7.3141955e+10   7.8489128e+08  -2.9054121e-01   2.9201288e-01   5.9542341e-01
   1.9864552e+03             NaN             NaN  -3.2065578e-01   4.6387290e-02   5.1249837e-01
   1.9865387e+03   8.1297570e+10   5.6314147e+08  -2.9610586e-01  -9.5219613e-02   1.9810180e-01
   1.9866235e+03   8.3620323e+10   1.7441953e+09  -3.2752976e-01  -2.7985346e-01   2.2412800e-02
   1.9867070e+03   7.9098664e+10   8.3614862e+08  -3.1279980e-01  -3.0466084e-01   2.7821305e-02
   1.9867906e+03   7.3462742e+10   8.8921703e+08  -2.3587673e-01  -2.7513904e-01   1.6386169e-01
   1.9868741e+03   6.7763105e+10   1.3498182e+09  -2.6697329e-01  -2.1182056e-01   1.0359070e-01
   1.9869576e+03   6.0525546e+10   1.7418152e+09  -2.8726789e-01  -3.1760454e-01  -1.1114193e-02
   1.9870424e+03   6.4348154e+10   1.5321005e+09  -2.9086854e-01  -2.9624679e-01  -6.6257498e-03
   1.9871232e+03   6.4588937e+10   1.4383785e+09  -3.0363450e-01  -3.5693423e-01  -4.0037386e-02
   1.9872040e+03   6.5712399e+10   1.1818792e+09  -2.9905185e-01  -4.8781654e-01  -1.3715765e-01
   1.9872875e+03   7.0765068e+10   9.2129049e+08  -1.4978835e-01  -5.7652384e-01  -2.5187094e-01
   1.9873710e+03   7.5056555e+10   7.8739329e+08  -1.4553303e-01  -7.4438816e-01  -4.8481275e-01
   1.9874545e+03             NaN             NaN  -2.5322534e-01  -7.9314622e-01  -6.9929183e-01
